City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,saint-joseph,-21.3667,55.6167,23.21,78,45,6.85,RE,1715295946
280,angaur state,6.906,134.13,27.5,84,91,5.23,PW,1715295946
281,port shepstone,-30.7414,30.455,22.7,54,1,1.5,ZA,1715295946
282,santa ana,33.7456,-117.8678,30.8,60,20,6.17,US,1715295931
283,talakan,50.3167,130.3667,10.67,31,82,0.97,RU,1715295948
284,xiva,41.3783,60.3639,14.99,32,100,5.85,UZ,1715295948
285,kodiak,57.79,-152.4072,1.73,93,100,3.09,US,1715295949
286,revda,56.801,59.9303,0.38,71,45,2.54,RU,1715295949
287,gering,41.8258,-103.6605,13.07,62,100,8.75,US,1715295950
288,villa canas,-34.0057,-61.6076,7.75,75,34,3.58,AR,1715295950
289,rongelap,11.1635,166.8941,27.22,80,68,7.98,MH,1715295951
290,pantabangan,15.8113,121.1443,26.44,75,86,3.29,PH,1715295951
291,veranopolis,-28.9361,-51.5494,13.07,90,81,1.19,BR,1715295952
292,surgana,20.5667,73.6167,23.33,81,8,1.54,IN,1715295952
293,sarykemer,43.0,71.5,16.71,79,73,0.34,KZ,1715295953
294,san luis,-33.295,-66.3356,11.16,42,63,4.27,AR,1715295892
295,deniliquin,-35.5333,144.9667,14.0,93,100,3.74,AU,1715295953
296,ruteng,-8.6136,120.4721,18.72,92,68,0.47,ID,1715295954
297,madera,37.1666,-119.8343,30.27,24,0,2.11,US,1715295954
298,osakarovka,50.565,72.5692,12.74,75,90,3.61,KZ,1715295955
299,karema,-6.8205,30.4389,21.91,77,81,2.42,TZ,1715295955
300,selfoss,63.9331,-20.9971,4.47,63,96,0.96,IS,1715295935
301,lepsy,46.235,78.9456,20.79,32,94,3.56,KZ,1715295956
302,dingli,35.8614,14.3822,16.56,82,75,5.66,MT,1715295956
303,dongola,19.1667,30.4833,28.27,7,16,4.48,SD,1715295742
304,vadso,70.0744,29.7487,0.09,69,100,6.17,NO,1715295799
305,port macquarie,-31.4333,152.9167,17.72,63,100,1.46,AU,1715295958
306,cluj-napoca,46.7667,23.6,6.71,100,0,2.24,RO,1715295959
307,nizhniy odes,63.6445,54.856,-8.1,97,16,2.29,RU,1715295959
308,howrah,22.5892,88.3103,23.0,83,40,2.57,IN,1715295960
309,qoryooley,1.7878,44.53,24.64,93,36,3.61,SO,1715295960
310,fauske,67.2588,15.3918,5.02,82,90,7.15,NO,1715295961
311,fada,9.5667,8.3,25.87,64,98,0.56,NG,1715295961
312,oamaru,-45.0784,170.9801,11.88,66,61,7.68,NZ,1715295962
313,aykhal,66.0,111.5,-8.58,90,100,3.79,RU,1715295962
314,manakara,-22.1333,48.0167,21.86,87,75,2.03,MG,1715295963
315,gloversville,43.0528,-74.3438,15.72,70,91,2.64,US,1715295963
316,guane,22.2025,-84.0875,29.95,59,40,3.84,CU,1715295769
317,kununurra,-15.7667,128.7333,21.99,83,4,0.0,AU,1715295734
318,concordia,-31.393,-58.0209,14.04,77,0,2.57,AR,1715295883
319,inongo,-1.95,18.2667,22.1,98,100,1.3,CD,1715295965
320,manokwari,-0.8667,134.0833,27.55,80,100,2.48,ID,1715295966
321,labrador city,52.9463,-66.9114,7.95,34,0,4.12,CA,1715295966
322,lisala,2.15,21.5167,22.89,96,96,1.3,CD,1715295741
323,lucheng,31.2336,117.2806,18.73,74,28,3.01,CN,1715295718
324,paita,-5.0892,-81.1144,22.13,75,70,8.94,PE,1715295937
325,ribeira brava,32.65,-17.0667,21.35,76,81,0.57,PT,1715295968
326,north bend,43.4065,-124.2243,28.88,56,0,7.72,US,1715295968
327,qaqortoq,60.7167,-46.0333,1.53,76,100,1.21,GL,1715295969
328,salmon arm,50.6998,-119.3024,25.62,22,40,1.03,CA,1715295786
329,princeville,45.7668,-61.2985,5.18,96,100,4.63,CA,1715295970
330,lospalos,-8.5186,127.0025,23.6,92,55,3.16,TL,1715295971
331,port moresby,-9.4431,147.1797,25.88,81,100,2.45,PG,1715295678
332,bijie,27.3125,105.2942,15.62,95,100,1.95,CN,1715295972
333,lionel town,17.8101,-77.2406,30.94,73,99,3.3,JM,1715295972
334,timimoun,29.2639,0.231,26.21,18,0,7.2,DZ,1715295734
335,villa ojo de agua,-29.5,-63.6938,8.74,52,100,3.59,AR,1715295973
336,beyneu,45.3167,55.2,12.05,47,17,2.96,KZ,1715295973
337,marsh harbour,26.5412,-77.0636,25.44,73,9,4.36,BS,1715295974
338,koysinceq,36.0821,44.6278,16.35,54,82,1.14,IQ,1715295974
339,bang saphan,11.2126,99.5117,26.5,87,100,1.04,TH,1715295975
